   설정                           파라    지점      @5     @10     @20     중앙
   기준 21 (5특징)                  21   110    52.7%    69.1%    75.5%      4
   16 = 4+4+4+2+2               16   110    51.8%    69.1%    76.4%      4
   14 = 4+4+4+2 (−ing)          14   110    51.8%    69.1%    76.4%      4
   12 = 4+4+4 (−std)            12   110    50.0%    60.9%    70.9%      4
   13 = 4+4+5 (rig풀)            13   110    50.9%    63.6%    70.0%      4
   15 = 4+4+5+2 (+std)          15   110    53.6%    68.2%    76.4%      4
   10 = 4+4+2                   10   110    48.2%    56.4%    64.5%      5
   학습0 λ=0.05                    0   110    54.5%    63.6%    70.0%      3
   학습0 λ=0.1                     0   110    55.5%    64.5%    71.8%      3
   학습0 λ=0.2                     0   110    56.4%    65.5%    73.6%      3
   학습0 λ=0.5                     0   110    56.4%    65.5%    73.6%      3
SHRINK_DONE
